ID,Gender,Age,Edu,Inc,Emp,Monthly_Spend,Retail_Platform,Adv,Soc,Grat,Ide,Rol,Val,Eff,Ach,MAH_1,filter_$,Spend,Occupation
200,2.0,2.0,2.0,2.0,1.0,2.0,1.0,33.333.333.333.333.300,3.5,3.0,3.0,4.0,3.25,4.0,4.333.333.333.333.330,6.972.895.211.520.100,1.0,2.0,3.0
270,2.0,1.0,2.0,2.0,2.0,2.0,1.0,33.333.333.333.333.300,3.25,3.0,3.0,3.25,3.0,3.5,36.666.666.666.666.600,7.589.536.930.562.720,1.0,2.0,4.0
302,1.0,1.0,2.0,2.0,4.0,1.0,0.0,36.666.666.666.666.600,3.5,4.0,3.5,4.0,3.5,4.0,4.0,7.710.251.828.716.940,1.0,1.0,6.0
381,1.0,2.0,2.0,2.0,1.0,2.0,1.0,4.333.333.333.333.330,3.75,4.0,3.5,4.0,3.5,3.5,4.0,8.935.134.398.872.390,1.0,2.0,3.0
64,2.0,2.0,2.0,2.0,1.0,2.0,0.0,4.0,3.25,4.0,3.0,4.0,3.0,3.5,4.333.333.333.333.330,8.958.068.950.034.400,1.0,2.0,2.0
264,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.75,4.0,3.0,4.0,3.5,3.5,4.0,9.749.931.629.008.300,1.0,1.0,3.0
243,2.0,1.0,1.0,1.0,1.0,1.0,0.0,36.666.666.666.666.600,3.5,33.333.333.333.333.300,3.0,3.75,3.5,3.0,36.666.666.666.666.600,11.171.391.278.034.300,1.0,1.0,3.0
308,2.0,1.0,2.0,1.0,1.0,1.0,0.0,33.333.333.333.333.300,2.75,26.666.666.666.666.600,3.0,3.75,3.0,3.5,36.666.666.666.666.600,11.517.350.969.186.300,1.0,1.0,3.0
136,1.0,2.0,2.0,2.0,1.0,2.0,0.0,4.0,3.75,36.666.666.666.666.600,3.0,3.75,3.75,4.0,4.0,1.208.028.370.151.050,1.0,2.0,3.0
207,2.0,1.0,2.0,1.0,1.0,2.0,0.0,4.0,3.25,4.0,3.5,4.5,3.25,3.5,4.0,13.037.871.635.162.600,1.0,2.0,2.0
106,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,33.333.333.333.333.300,3.0,3.5,2.75,4.0,4.0,13.983.956.918.721.600,1.0,2.0,3.0
147,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,36.666.666.666.666.600,4.0,4.25,3.5,3.5,4.0,1.416.774.345.066.720,1.0,1.0,2.0
97,1.0,1.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,16.228.498.148.008.100,1.0,3.0,4.0
99,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,16.228.498.148.008.100,1.0,3.0,4.0
100,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,16.228.498.148.008.100,1.0,3.0,4.0
101,1.0,1.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,16.228.498.148.008.100,1.0,3.0,4.0
103,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,16.228.498.148.008.100,1.0,3.0,4.0
155,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,16.228.498.148.008.100,1.0,1.0,4.0
211,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,16.228.498.148.008.100,1.0,3.0,3.0
